Problem Category,Specific Issue,Example,Date Identified,Resolution Phase,Last Review Date,Accuracy Rate,Attempts
Grammar,Missing こと in nominalization,Often forgotten in things like phrase+に気がつく,2025-03-10,,2025-03-17,,
Grammar,Passive-causative combinations,Complex sentences with させられる forms,2025-03-18,,,,
Grammar,Processing unexpected word order,Patterns like 指の長い (fingers-long),2025-03-18,,,,
Grammar,[verb]-ようにする vs [verb-おう]-よう distinction,Consistent confusion between patterns,2025-03-19,,,,
Grammar,Adding の after verb in [verb] + ように pattern,Used 食べるのように instead of 食べるように,2025-03-19,,,,
Grammar,Missing のが in をする のが へたです pattern,,2025-03-19,,,,
Honorifics,Unnecessary お+verb used in verb[て]+いただけませんか pattern,,2025-03-15,,2025-03-16,,
Particles,Confusion between に and で,,2025-03-05,,2025-03-15,,
Particles,Determining when の is needed in compound nouns,"直接複合 vs の-複合 (e.g., 車椅子 vs 車の色)",2025-03-18,,,,
Particles,Direct object marking (は vs を),寿司は食べたことがあります,2025-03-18,,,,
Particles,Missing を with action noun + する,サーフィングしたことがない,2025-03-18,,,,
Particles,Complex noun relationships in longer sentences,先生のエルエルエムと vs エルエルエムの先生と,2025-03-18,,,,
Spelling,Extra う in えんりょ,えんりょう (incorrect),2025-03-15,,-,,
Spelling,ボランティア misspelling,,2025-03-19,,,,
Verb conjugation,Forgetting 帰る is godan verb,,2025-03-19,,,,
Verb conjugation,Irregular くる→ こい command form,,2025-03-19,,,,
Vocabulary,Confusion between 幸福 vs 幸運,Frequent errors in WK,2025-02-28,,2025-03-14,,
Vocabulary,Confusion between この頃 vs この間,,2025-03-17,,,,
Vocabulary,Confusion between さっそく vs さっさと,"すぐに vs 急いで (e.g., さっそく始めましょう vs さっさと終わらせて)",2025-03-18,,,,
Vocabulary,Confusion between 昨今 and 昨日,,2025-03-19,,,,
