Date,Start Time,Duration (min),App,Items Reviewed,Accuracy %,Notes
4/1/25,08:51,20,Emurse,67,100,
3/31/25,10:22,45,BunPro,30,80,
3/30/25,15:44,45,BunPro,29,62,Not the right headspace.
3/29/25,12:14,37,Emurse,73,97,
3/28/25,11:50,25,BunPro,19,79,
3/28/25,09:13,12,Emurse,39,97,
3/27/25,20:34,1,WaniKani,5,100,
3/27/25,14:00,7,WaniKani,17,82,
3/26/25,22:55,10,WaniKani,19,73,
3/26/25,19:30,16,BunPro,16,100,
3/25/25,22:29,40,BunPro,20,85,"- Recognizing the はず point but struggling to be confident about how to connect it with ちゃんと用意したPast, Standard, Expectedのに、歯ブラシ持って来るのを忘れた。 (was はずたった)
    - I guessed ことがはず
    - There was a clue in that the prompt had ""past""
    - Since I know it's a noun, it also suggests I'm not clear on when nouns can connect directly to verbs"
3/25/25,22:04,2,Dogen Lesson 13,,,
3/25/25,08:55,9,BunPro,13,91,
3/25/25,08:15,10,WaniKani,18,88,"平静constantly responding “still” instead of “calm, serene, tranquil”. In some ways it’s a synonym in English, but I want to remember to disambiguate from 静止."
3/24/25,23:32,25,Emurse,88,94,
3/24/25,22:41,6,BunPro,12,92,"was a little unsure about い-adjective[く]+する, I got it right but couldn’t remember for sure if it was +にする."
3/23/25,21:06,0,WaniKani,2,100,
3/23/25,20:30,30,BunPro,27,85,
3/22/25,20:03,17,WaniKani,28,75,
3/22/25,17:45,1,Anki,1,100,
3/22/25,15:56,44,Emurse,88,96,
3/22/25,14:02,25,BunPro,20,85,
3/22/25,12:52,25,BunPro,9,100,Strolling around the hood getting a bagel. Got えんりょright this time.
3/21/25,19:50,15,BunPro,14,92,
3/21/25,09:34,20,Emurse,20,95,Re-drilling a block of items I drilled last week. With this accuracy I can move on.
3/20/25,12:43,13,BunPro,15,93,
3/20/25,12:14,8,WaniKani,18,66,On subway
3/19/25,20:13,3,BunPro,1,100,
3/19/25,18:21,7,BunPro,8,88,
3/19/25,15:07,12,WaniKani,15,60,
3/18/25,21:54,3,WaniKani,6,100,
3/18/25,09:58,19,BunPro,24,88,
3/18/25,09:54,2,WaniKani,9,88,
3/16/25,21:30,40,Emurse,50,60,
3/16/25,21:00,4,WaniKani,11,90,
3/16/25,20:16,43,BunPro,31,81,
3/15/25,12:23,3,WaniKani,7,85,
3/15/25,10:58,39,BunPro,19,79,Done leisurely while doing farmer’s market errands. 2/3 wrong answers were just added vocab
3/14/25,20:59,9,BunPro,9,100,
3/14/25,16:41,3,WaniKani,7,100,
3/14/25,13:50,20,Emurse,10,90,
3/14/25,08:16,2,WaniKani,6,100,
3/14/25,07:52,12,BunPro,5,80,
3/14/25,07:49,2,WaniKani,6,100,
3/13/25,20:57,3,BunPro,3,67,
3/13/25,20:34,21,BunPro,15,53,
3/13/25,19:31,26,BunPro,25,92,
3/13/25,09:46,23,BunPro,13,54,Done on train with frequent signal interruption
3/13/25,00:32,1,WaniKani,3,66,
3/13/25,00:15,16,BunPro,18,83,
3/12/25,21:18,14,BunPro,12,83,
3/12/25,08:51,20,Emurse,51,70,
3/12/25,08:15,4,WaniKani,8,87,
3/12/25,07:10,9,BunPro,5,100,
3/12/25,06:59,9,WaniKani,21,76,
3/11/25,22:02,26,WaniKani,20,45,
3/11/25,13:04,48,Emurse,15,40,
3/11/25,11:25,16,BunPro,14,71,
3/11/25,10:47,6,WaniKani,9,66,
3/10/25,23:53,41,BunPro,28,82,
