Word,Reading,English Meaning,Added to SRS,品詞,Context Sentence,Source,Episode,Date
モジャモジャ,もじゃもじゃ,messy/shaggy (hair),FALSE,擬態語,,NcT,680,2025-03-20
ひげ,ひげ,beard/mustache,TRUE,名詞,,NcT,680,2025-03-20
ボサボサ,ぼさぼさ,disheveled/messy (hair),FALSE,擬態語,,NcT,680,2025-03-20
ととのえ,ととのえ,to arrange/put in order,FALSE,名詞/動詞,,NcT,680,2025-03-20
ほくほく,ほくほく,warm and fluffy (food),FALSE,擬態語,,NcT,680,2025-03-20
焼き芋,やきいも,baked/roasted sweet potato,FALSE,名詞,,NcT,680,2025-03-20
ふゆ,ふゆ,winter,TRUE,名詞,,NcT,680,2025-03-20
さつまいも,さつまいも,sweet potato,FALSE,名詞,,NcT,680,2025-03-20
あき,あき,autumn/fall,TRUE,名詞,,NcT,680,2025-03-20
なべ,なべ,pot/pan,TRUE,名詞,,NcT,680,2025-03-20
ポカン,ぽかん,blank expression/dumbfounded,TRUE,擬態語,,NcT,680,2025-03-20
ぎたいご,ぎたいご,mimetic word,FALSE,名詞,,NcT,680,2025-03-20
ぎおんご,ぎおんご,onomatopoeic word,FALSE,名詞,,NcT,680,2025-03-20
とにかく,とにかく,anyway/anyhow/at any rate,FALSE,副詞,,NcT,680,2025-03-20
ふくしゅう,ふくしゅう,review/revision,FALSE,名詞/する動詞,,Writing practice,2025-03-20,2025-03-20
持ち帰り,もちかえり,takeout/to take home,FALSE,名詞/する動詞,,Writing practice,2025-03-20,2025-03-20
食べ残し,たべのこし,leftovers (from eating),TRUE,名詞,,Writing practice,2025-03-20,2025-03-20
食い残し,くいのこし,leftovers (cruder form),FALSE,名詞,,Writing practice,2025-03-20,2025-03-20
辞書形,じしょけい,dictionary form (grammar term),FALSE,名詞,,Writing practice,2025-03-20,2025-03-20
